,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
1572,초등학교,용강초교,서울특별시 마포구 백범로17길 9,서울특별시 마포구 대흥동 35-1번지,37.5491010696,126.9440167000,마포구청,마포경찰서,Y,2,4.2~4.5,2020-05-19,3130000,서울특별시 마포구
1573,유치원,용강초교병설유치원,서울특별시 마포구 백범로17길 9,서울특별시 마포구 대흥동 35-1번지,37.5491010696,126.9440167000,마포구청,마포경찰서,Y,2,4.2~4.5,2020-05-19,3130000,서울특별시 마포구
1574,초등학교,서강초교,서울특별시 마포구 독막로 113,서울특별시 마포구 상수동 1-1번지,37.5486952599,126.9268966105,마포구청,마포경찰서,Y,3,4,2020-05-19,3130000,서울특별시 마포구
1575,초등학교,홍대부속초교,서울특별시 마포구 성미산로 51,서울특별시 마포구 성산동 산11-31번지,37.5596457273,126.9132092807,마포구청,마포경찰서,Y,3,5.6~14.0,2020-05-19,3130000,서울특별시 마포구
1576,초등학교,동교초교,서울특별시 마포구 월드컵로25길 86,서울특별시 마포구 망원동 426-5번지,37.5586245661,126.9023504000,마포구청,마포경찰서,Y,5,5.1~6.2,2020-05-19,3130000,서울특별시 마포구
1577,초등학교,망원초교,서울특별시 마포구 방울내로5길 28,서울특별시 마포구 망원동 467-1번지,37.5608234000,126.9007623937,마포구청,마포경찰서,Y,5,5.0~5.5,2020-05-19,3130000,서울특별시 마포구
1578,초등학교,성서초교,서울특별시 마포구 성미산로7길 24,서울특별시 마포구 성산동 31-1번지,37.5605954796,126.9109264478,마포구청,마포경찰서,Y,1,5.6~14.0,2020-05-19,3130000,서울특별시 마포구
1579,초등학교,성원초교,서울특별시 마포구 월드컵로36길 34,서울특별시 마포구 성산동 175-1번지,37.5669771899,126.9050872612,마포구청,마포경찰서,Y,3,5.5~8.9,2020-05-19,3130000,서울특별시 마포구
1580,초등학교,중동초교,서울특별시 마포구 월드컵북로 152,서울특별시 마포구 성산동 94-1번지,37.5664093440,126.9117752412,마포구청,마포경찰서,Y,3,4.2~8.1,2020-05-19,3130000,서울특별시 마포구
1581,초등학교,염리초교,서울특별시 마포구 토정로37길 37,서울특별시 마포구 염리동 173-4번지,37.5427084913,126.9459983393,마포구청,마포경찰서,Y,4,4.0~8.9,2020-05-19,3130000,서울특별시 마포구
1582,초등학교,신석초교,서울특별시 마포구 대흥로 33,서울특별시 마포구 신수동 445-1번지,37.5445352786,126.9377818346,마포구청,마포경찰서,Y,3,4.0~17.2,2020-05-19,3130000,서울특별시 마포구
1583,초등학교,창천초교,서울특별시 마포구 백범로1길 56,서울특별시 마포구 노고산동 33-1번지,37.5549191712,126.9392942416,마포구청,마포경찰서,Y,3,7.1~7.5,2020-05-19,3130000,서울특별시 마포구
1584,유치원,창천초교병설유치원,서울특별시 마포구 백범로1길 56,서울특별시 마포구 노고산동 33-1번지,37.5549191712,126.9392942416,마포구청,마포경찰서,Y,3,7.1~7.5,2020-05-19,3130000,서울특별시 마포구
1585,초등학교,서교초교,서울특별시 마포구 와우산로23길 20-27,서울특별시 마포구 서교동 341번지,37.5548889361,126.9243781315,마포구청,마포경찰서,Y,12,4.4~7.7,2020-05-19,3130000,서울특별시 마포구
1586,초등학교,성산초교,서울특별시 마포구 양화로3길 94,서울특별시 마포구 합정동 427-2번지,37.5534098000,126.9109485605,마포구청,마포경찰서,Y,3,4.6~14.3,2020-05-19,3130000,서울특별시 마포구
1587,초등학교,신북초교,서울특별시 마포구 월드컵북로38길 26,서울특별시 마포구 중동 42번지,37.5711039693,126.9053627531,마포구청,마포경찰서,Y,3,5.0~8.0,2020-05-19,3130000,서울특별시 마포구
1588,초등학교,한서초교,서울특별시 마포구 대흥로24바길 27,서울특별시 마포구 염리동 24-140번지,37.5536482837,126.9497793991,마포구청,마포경찰서,Y,1,5,2020-05-19,3130000,서울특별시 마포구
1589,초등학교,상암초교,서울특별시 마포구 월드컵북로 353,서울특별시 마포구 상암동 1635번지,37.5763366011,126.8923420937,마포구청,마포경찰서,Y,2,20~30,2020-05-19,3130000,서울특별시 마포구
1590,유치원,원유치원,서울특벽시 용산구 이촌로81길 14,서울특별시 용산구 이촌동 402,37.5192132026,126.9766296950,용산구청,용산경찰서,Y,,7.5,2020-02-18,3020000,서울특별시 용산구
1591,어린이집,이촌어린이집,서울특벽시 용산구 이촌로14길 11-22,서울특별시 용산구 이촌동 206-1,37.5269589847,126.9545216180,용산구청,용산경찰서,Y,,8~9,2020-02-18,3020000,서울특별시 용산구
1592,어린이집,보광어린이집,서울특벽시 용산구 보광로12가길 48-4,서울특별시 용산구 보광동9-12,37.5288093851,127.0009367420,용산구청,용산경찰서,Y,,4~5,2020-02-18,3020000,서울특별시 용산구
1593,어린이집,충신교회어린이집,서울특벽시 용산구 이촌로64길 72,서울특별시 용산구 이촌동 302-91,37.5205229776,126.9677696823,용산구청,용산경찰서,Y,,6,2020-02-18,3020000,서울특별시 용산구
1594,어린이집,동빙고어린이집,서울특벽시 용산구 녹사평대로14길 7,서울특별시 용산구 동빙고동 7-40,37.5236014446,126.9940088874,용산구청,용산경찰서,Y,,6~8,2020-02-18,3020000,서울특별시 용산구
1595,유치원,석문유치원,서울특별시 서초구 서초대로64길 73,서울특별시 서초구 서초동 1634-1,37.49236352,127.0219462,서울시 서초구,서초경찰서,Y,1,2,2020-07-01,3210000,서울특별시 서초구
1596,유치원,양재천사유치원,서울특별시 서초구 바우뫼로 89,서울특별시 서초구 양재동 154-2,37.47435569,127.0311795,서울시 서초구,서초경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1597,유치원,여나유치원,서울특별시 서초구 서초중앙로 200,서울특별시 서초구 서초동 1685,37.50042675,127.0154753,서울시 서초구,서초경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1598,유치원,영생유치원,서울특별시 서초구 신반포로19길 30,서울특별시 서초구 반포2동 4-10,37.5050048,126.995664,서울시 서초구,방배경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1599,유치원,원명병설유치원,서울특별시 서초구 고무래로 90-6,서울특별시 서초구 서초동 1685-1,37.50077618,127.0167058,서울시 서초구,서초경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1600,유치원,하나유치원,서울특별시 서초구 잠원로8길 13,서울특별시 서초구 잠원동 56-3,37.5152074,127.0102178,서울시 서초구,서초경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1601,유치원,한신유치원,서울특별시 서초구 잠원로3길 31,서울특별시 서초구 잠원동 70-3,37.50904489,127.004773,서울시 서초구,서초경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1602,초등학교,계성초등학교,서울특별시 서초구 신반포로19길 23,서울특별시 서초구 반포동 6-1,37.50491473,126.9968242,서울시 서초구,방배경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1603,초등학교,교대부속초등학교,서울특별시 서초구 서초중앙로 96,서울특별시 서초구 서초동 1650,37.49084333,127.0176896,서울시 서초구,서초경찰서,Y,1,3,2020-07-01,3210000,서울특별시 서초구
1604,초등학교,매헌초등학교,서울특별시 서초구 언남길 8,서울특별시 서초구 양재동 311-1,37.47126365,127.0420771,서울시 서초구,서초경찰서,Y,1,3,2020-07-01,3210000,서울특별시 서초구
1605,초등학교,반원초등학교,서울특별시 서초구 잠원로3길 40,서울특별시 서초구 잠원동 72-3,37.5082124,127.0036319,서울시 서초구,서초경찰서,Y,1,4,2020-07-01,3210000,서울특별시 서초구
1606,초등학교,반포초등학교,서울특별시 서초구 신반포로 55-4,서울특별시 서초구 반포본동 937,37.50248537,126.9917397,서울시 서초구,방배경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1607,초등학교,후암초교,서울특벽시 용산구 두텁바위로 140,서울특별시 용산구 후암동 30-138,37.5513654106,126.9817257628,용산구청,용산경찰서,Y,,6~12,2020-02-18,3020000,서울특별시 용산구
1608,초등학교,금양초교,서울특벽시 용산구 효창원로 137,서울특별시 용산구 효창동 126-4,37.5409415031,126.9618317604,용산구청,용산경찰서,Y,,15,2020-02-18,3020000,서울특별시 용산구
1609,초등학교,삼광초교,서울특벽시 용산구 두텁바위로1나길 19,서울특별시 용산구 후암동 190-2,37.5477533026,126.9765936288,용산구청,용산경찰서,Y,,4~18,2020-02-18,3020000,서울특별시 용산구
1610,초등학교,신광초교,서울특벽시 용산구 청파로 213,서울특별시 용산구 문배동 3-3,37.5385977453,126.9703507277,용산구청,용산경찰서,Y,,4.5~5,2020-02-18,3020000,서울특별시 용산구
1611,초등학교,용산초교,서울특벽시 용산구 한강대로57길 33,서울특별시 용산구 한강로2가 1,37.5352103072,126.9716690507,용산구청,용산경찰서,Y,,6~10,2020-02-18,3020000,서울특별시 용산구
1612,초등학교,한강초교,서울특벽시 용산구 한강대로14길 9,서울특별시 용산구 한강로3가 65-6,37.5253009770,126.9645638476,용산구청,용산경찰서,Y,,7~15,2020-02-18,3020000,서울특별시 용산구
1613,유치원,충신유치원,서울특벽시 용산구 이촌로71길 10,서울특별시 용산구 이천동 409,37.5207616,126.9712771,용산구청,용산경찰서,Y,,13,2020-02-18,3020000,서울특별시 용산구
1614,유치원,일민유치원,서울특벽시 용산구 효창원로 17,서울특별시 용산구 신천동 193,37.5348611,126.9486162,용산구청,용산경찰서,Y,,15,2020-02-18,3020000,서울특별시 용산구
