기간,자치구,동,인구,면적,인구밀도
2020,도봉구,방학2동,20473,0.74,27666
2020,도봉구,방학3동,27973,2.62,10677
2020,도봉구,창1동,25400,0.88,28864
2020,도봉구,창2동,29912,1.05,28488
2020,도봉구,창3동,14402,0.67,21496
2020,도봉구,창4동,27286,0.95,28722
2020,도봉구,창5동,25308,0.7,36154
2020,도봉구,도봉1동,21810,8.72,2501
2020,도봉구,도봉2동,27920,0.83,33639
2020,노원구,소계,527032,35.44,14872
2020,노원구,월계1동,23085,1.16,19901
2020,노원구,월계2동,27615,1.94,14235
2020,노원구,월계3동,30790,1.17,26316
2020,노원구,공릉2동,40360,6.82,5918
2020,노원구,하계1동,27965,1.55,18042
2020,노원구,하계2동,22723,0.51,44555
2020,노원구,중계본동,24942,1.97,12661
2020,노원구,중계1동,27556,0.63,43740
2020,노원구,중계4동,20752,1.7,12207
2020,노원구,상계1동,39204,5.62,6976
2020,노원구,상계2동,20692,0.61,33921
2020,노원구,상계5동,24797,0.44,56357
2020,노원구,상계8동,22963,0.67,34273
2020,노원구,상계9동,21221,0.81,26199
2020,노원구,상계10동,17631,0.8,22039
2020,노원구,상계3.4동,27184,5.62,4837
2020,노원구,상계6.7동,33642,1.11,30308
2020,노원구,중계2.3동,35586,0.9,39540
2020,노원구,공릉1동,38324,1.41,27180
2020,은평구,소계,484043,29.71,16292
2020,은평구,녹번동,37815,1.79,21126
2020,은평구,불광1동,40022,3.13,12787
2020,은평구,갈현1동,23396,0.97,24120
2020,은평구,갈현2동,29239,0.96,30457
2020,은평구,구산동,32997,1.38,23911
2020,은평구,대조동,27579,0.85,32446
2020,은평구,응암1동,31265,1.2,26054
2020,은평구,응암2동,27776,0.78,35610
2020,은평구,신사1동,27776,0.84,33067
2020,은평구,신사2동,20945,1,20945
2020,은평구,증산동,15487,0.81,19120
2020,은평구,수색동,11258,1.29,8727
2020,은평구,진관동,57256,11.53,4966
2020,은평구,불광2동,28740,1.38,20826
2020,은평구,응암3동,25553,0.63,40560
2020,은평구,역촌동,46939,1.16,40465
2020,서대문구,소계,322952,17.63,18322
2020,서대문구,천연동,18049,0.97,18607
2020,서대문구,홍제1동,24604,1.23,20003
2020,서대문구,홍제3동,15983,1.05,15222
2020,서대문구,홍제2동,14334,0.81,17696
2020,서대문구,홍은1동,23266,1.58,14725
2020,서대문구,홍은2동,27734,2.06,13463
2020,서대문구,남가좌1동,16141,0.51,31649
2020,서대문구,남가좌2동,30996,0.77,40255
2020,서대문구,북가좌1동,18557,0.55,33740
2020,서대문구,북가좌2동,32947,0.84,39223
2020,서대문구,충현동,21229,1.12,18954
2020,서대문구,북아현동,16956,0.46,36861
2020,서대문구,신촌동,23051,2.63,8765
2020,서대문구,연희동,39105,3.05,12821
2020,마포구,소계,381858,23.85,16011
2020,마포구,용강동,22257,0.84,26496
2020,마포구,대흥동,15863,0.87,18233
2020,마포구,염리동,12864,0.44,29236
2020,마포구,신수동,23606,0.78,30264
2020,마포구,서교동,26981,1.65,16352
2020,마포구,합정동,18576,1.72,10800
2020,마포구,망원1동,21113,1.13,18684
2020,마포구,망원2동,19216,0.67,28681
2020,마포구,연남동,16682,0.64,26066
2020,마포구,성산1동,19679,0.8,24599
2020,마포구,성산2동,40669,2.07,19647
2020,마포구,상암동,31997,8.4,3809
2020,마포구,도화동,21998,0.62,35481
2020,마포구,서강동,25386,1.45,17508
2020,마포구,공덕동,38750,1.01,38366
2020,마포구,아현동,26221,0.76,34501
2020,양천구,소계,457781,17.41,26301
2020,양천구,목1동,31727,1.41,22501
2020,양천구,목2동,30705,1.03,29811
2020,양천구,목3동,22643,0.53,42723
2020,양천구,목4동,26190,0.57,45947
2020,양천구,신월1동,21246,0.65,32686
2020,양천구,신월2동,21520,0.61,35279
2020,양천구,신월3동,15965,0.87,18351
2020,양천구,신월4동,18487,0.52,35552
2020,양천구,신월5동,15189,0.69,22013
2020,양천구,신월6동,13798,0.41,33654
2020,양천구,신월7동,20651,1.19,17354
2020,양천구,신정1동,21074,0.7,30106
2020,양천구,신정2동,20207,0.52,38860
2020,양천구,신정3동,46787,2.72,17201
2020,양천구,신정6동,25038,0.96,26081
2020,양천구,신정7동,30075,1.21,24855
2020,양천구,목5동,42288,1.81,23364
2020,양천구,신정4동,34191,1.01,33852
2020,강서구,소계,585901,41.44,14140
2020,강서구,염창동,42017,1.74,24148
2020,강서구,등촌1동,24338,0.64,38028
2020,강서구,등촌2동,21216,0.92,23061
2020,강서구,등촌3동,31660,0.79,40076
2020,강서구,화곡본동,34981,0.98,35695
2020,강서구,화곡2동,18727,0.45,41616
2020,강서구,화곡3동,21938,0.53,41392
2020,강서구,화곡4동,21413,0.82,26113
2020,강서구,화곡6동,25133,1.11,22642
