시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,관광지개수,예상범죄비율
강원도,태백시,장성동,0.0,3561.0,3.0,0.0,0.0,0.0003852653263362634
강원도,태백시,구문소동,0.0,2917.0,0.0,0.0,0.0,0.00031554380272690225
강원도,태백시,철암동,0.0,2338.0,1.0,0.0,0.0,0.00025301006505665057
강원도,평창군,평창읍,0.0,8834.0,4.0,0.0,0.0,0.00015885006925431754
강원도,평창군,미탄면,0.0,1747.0,1.0,0.0,2.0,3.162625813208132e-05
강원도,평창군,방림면,0.0,2512.0,2.0,0.0,0.0,4.5283051416389165e-05
강원도,평창군,대화면,0.0,5537.0,4.0,0.0,0.0,9.91914459597096e-05
강원도,평창군,봉평면,0.0,5916.0,1.0,0.0,2.0,0.00010637923189881899
강원도,평창군,용평면,0.0,3261.0,4.0,0.0,0.0,5.822106610678607e-05
강원도,평창군,진부면,0.0,9278.0,4.0,0.0,0.0,0.00016675663378733788
강원도,평창군,대관령면,0.0,5936.0,3.0,0.0,2.0,0.00010637923189881899
강원도,홍천군,홍천읍,0.0,35919.0,14.0,0.0,0.0,0.0003787963189910649
강원도,홍천군,화촌면,0.0,4736.0,3.0,0.0,0.0,4.95957229798548e-05
강원도,홍천군,두촌면,0.0,2425.0,1.0,0.0,0.0,2.587602938079381e-05
강원도,홍천군,내촌면,0.0,2447.0,2.0,0.0,0.0,2.587602938079381e-05
강원도,홍천군,서석면,0.0,3945.0,2.0,0.0,0.0,4.168915844683447e-05
강원도,홍천군,동면,0.0,3872.0,2.0,0.0,0.0,4.0970379852923525e-05
강원도,홍천군,남면,0.0,6169.0,2.0,0.0,0.0,6.469007345198452e-05
강원도,홍천군,서면,0.0,3886.0,4.0,0.0,2.0,4.0970379852923525e-05
강원도,홍천군,북방면,0.0,4014.0,1.0,0.0,0.0,4.240793704074541e-05
강원도,홍천군,내면,0.0,3485.0,3.0,0.0,0.0,3.66577082894579e-05
강원도,화천군,화천읍,0.0,8664.0,4.0,0.0,0.0,0.00023791571458452084
강원도,화천군,간동면,0.0,2827.0,4.0,0.0,0.0,7.762808814238142e-05
강원도,화천군,하남면,0.0,2875.0,5.0,0.0,0.0,7.906564533020331e-05
강원도,화천군,상서면,0.0,4236.0,8.0,0.0,0.0,0.00011644213221357214
강원도,화천군,사내면,0.0,6740.0,7.0,0.0,0.0,0.00018472609863511136
강원도,횡성군,횡성읍,0.0,21273.0,6.0,0.0,0.0,0.0001250674753405034
강원도,횡성군,우천면,0.0,4703.0,3.0,0.0,0.0,2.8032365162526626e-05
강원도,횡성군,안흥면,0.0,3153.0,2.0,0.0,0.0,1.8688243441684418e-05
강원도,횡성군,둔내면,0.0,5872.0,1.0,0.0,1.0,3.450137250772508e-05
강원도,횡성군,갑천면,0.0,2362.0,1.0,0.0,1.0,1.3656793284307844e-05
강원도,횡성군,청일면,0.0,2431.0,1.0,0.0,0.0,1.4375571878218783e-05
강원도,횡성군,공근면,0.0,3626.0,2.0,0.0,0.0,2.1563357817328173e-05
강원도,횡성군,서원면,0.0,2165.0,2.0,0.0,1.0,1.2938014690396905e-05
강원도,횡성군,강림면,0.0,1755.0,1.0,0.0,0.0,1.0062900314753149e-05
경기도,가평군,가평읍,1.0,10052.0,6.0,0.0,0.0,0.03522158865882384
경기도,가평군,설악면,1.0,5002.0,4.0,0.0,0.0,0.01752669723392434
경기도,가평군,청평면(외서면),0.0,7270.0,4.0,0.0,1.0,0.025473513368203683
경기도,가평군,상면,1.0,2903.0,3.0,0.0,1.0,0.010172154661027612
경기도,가평군,조종면,1.0,5204.0,1.0,0.0,0.0,0.018234694148926613
경기도,가평군,북면,1.0,2062.0,2.0,0.0,0.0,0.0072251624259927595
