,시도명,시군구명,읍/면/동,등록인구수,인구밀도,범죄총계(구),범죄발생비율
137,서울특별시,은평구,역촌동,46939.0,0.0,3686.0,17.35
138,서울특별시,서대문구,천연동,18049.0,0.0,2768.0,5.01
139,서울특별시,서대문구,홍제동,54921.0,0.01,2768.0,15.24
140,서울특별시,서대문구,홍은동,51000.0,0.01,2768.0,14.15
141,서울특별시,서대문구,남가좌동,47137.0,0.0,2768.0,13.08
142,서울특별시,서대문구,북가좌동,51504.0,0.01,2768.0,14.29
143,서울특별시,서대문구,충현동,21229.0,0.0,2768.0,5.89
144,서울특별시,서대문구,북아현동,16956.0,0.0,2768.0,4.71
145,서울특별시,서대문구,신촌동,23051.0,0.0,2768.0,6.4
146,서울특별시,서대문구,연희동,39105.0,0.0,2768.0,10.85
147,서울특별시,마포구,용강동,22257.0,0.0,4347.0,9.7
148,서울특별시,마포구,대흥동,15863.0,0.0,4347.0,6.91
149,서울특별시,마포구,염리동,12864.0,0.0,4347.0,5.61
150,서울특별시,마포구,신수동,23606.0,0.0,4347.0,10.29
151,서울특별시,마포구,서교동,26981.0,0.0,4347.0,11.76
152,서울특별시,마포구,합정동,18576.0,0.0,4347.0,8.1
153,서울특별시,마포구,망원동,40329.0,0.0,4347.0,17.58
154,서울특별시,마포구,연남동,16682.0,0.0,4347.0,7.27
155,서울특별시,마포구,성산동,60348.0,0.01,4347.0,26.3
156,서울특별시,마포구,상암동,31997.0,0.0,4347.0,13.94
157,서울특별시,마포구,도화동,21998.0,0.0,4347.0,9.59
158,서울특별시,마포구,서강동,25386.0,0.0,4347.0,11.06
159,서울특별시,마포구,공덕동,38750.0,0.0,4347.0,16.89
160,서울특별시,마포구,아현동,26221.0,0.0,4347.0,11.43
161,서울특별시,양천구,목동,153553.0,0.02,3087.0,47.52
162,서울특별시,양천구,신월동,125465.0,0.01,3087.0,38.83
163,서울특별시,양천구,신정동,177372.0,0.02,3087.0,54.9
164,서울특별시,강서구,염창동,42017.0,0.0,4618.0,19.45
165,서울특별시,강서구,등촌동,77214.0,0.01,4618.0,35.75
166,서울특별시,강서구,화곡동,201246.0,0.02,4618.0,93.17
167,서울특별시,강서구,가양동,64711.0,0.01,4618.0,29.96
168,서울특별시,강서구,외발산동,37530.0,0.0,4618.0,17.38
169,서울특별시,강서구,공항동,27627.0,0.0,4618.0,12.79
170,서울특별시,강서구,방화동,91569.0,0.01,4618.0,42.4
171,서울특별시,강서구,우장산동,43987.0,0.0,4618.0,20.37
172,서울특별시,구로구,신도림동,36494.0,0.0,4481.0,16.4
173,서울특별시,구로구,구로동,137774.0,0.01,4481.0,61.9
174,서울특별시,구로구,고척동,51400.0,0.01,4481.0,23.09
175,서울특별시,구로구,개봉동,88741.0,0.01,4481.0,39.87
176,서울특별시,구로구,오류동,63115.0,0.01,4481.0,28.35
177,서울특별시,구로구,수궁동,24297.0,0.0,4481.0,10.92
178,서울특별시,구로구,가리봉동,14263.0,0.0,4481.0,6.41
179,서울특별시,구로구,항동,16404.0,0.0,4481.0,7.37
180,서울특별시,금천구,가산동,25973.0,0.0,2952.0,7.69
181,서울특별시,금천구,독산동,110856.0,0.01,2952.0,32.81
182,서울특별시,금천구,시흥동,111006.0,0.01,2952.0,32.85
183,서울특별시,영등포구,여의동,34463.0,0.0,5464.0,18.88
184,서울특별시,영등포구,당산동,59208.0,0.01,5464.0,32.43
185,서울특별시,영등포구,양평동,40305.0,0.0,5464.0,22.08
186,서울특별시,영등포구,신길동,102288.0,0.01,5464.0,56.03
187,서울특별시,영등포구,대림동,64500.0,0.01,5464.0,35.33
188,서울특별시,영등포구,영등포동,52539.0,0.01,5464.0,28.78
189,서울특별시,영등포구,도림동,20665.0,0.0,5464.0,11.32
190,서울특별시,영등포구,문래동,33399.0,0.0,5464.0,18.3
191,서울특별시,동작구,노량진동,45899.0,0.0,3149.0,14.49
192,서울특별시,동작구,상도1동,46840.0,0.0,3149.0,14.79
193,서울특별시,동작구,상도동,82884.0,0.01,3149.0,26.17
194,서울특별시,동작구,사당동,105944.0,0.01,3149.0,33.45
195,서울특별시,동작구,대방동,39172.0,0.0,3149.0,12.37
196,서울특별시,동작구,신대방동,46289.0,0.0,3149.0,14.61
197,서울특별시,동작구,흑석동,34544.0,0.0,3149.0,10.91
198,서울특별시,관악구,보라매동,25278.0,0.0,4920.0,12.47
199,서울특별시,관악구,청림동,15711.0,0.0,4920.0,7.75
200,서울특별시,관악구,행운동,29799.0,0.0,4920.0,14.7
201,서울특별시,관악구,낙성대동,17579.0,0.0,4920.0,8.67
202,서울특별시,관악구,중앙동,15758.0,0.0,4920.0,7.77
203,서울특별시,관악구,인헌동,26500.0,0.0,4920.0,13.07
204,서울특별시,관악구,남현동,18598.0,0.0,4920.0,9.17
205,서울특별시,관악구,서원동,23565.0,0.0,4920.0,11.62
206,서울특별시,관악구,신원동,19290.0,0.0,4920.0,9.52
207,서울특별시,관악구,서림동,24410.0,0.0,4920.0,12.04
208,서울특별시,관악구,신사동,25426.0,0.0,4920.0,12.54
209,서울특별시,관악구,신림동,22667.0,0.0,4920.0,11.18
210,서울특별시,관악구,난향동,15915.0,0.0,4920.0,7.85
211,서울특별시,관악구,조원동,19232.0,0.0,4920.0,9.49
212,서울특별시,관악구,대학동,24907.0,0.0,4920.0,12.29
213,서울특별시,관악구,은천동,34595.0,0.0,4920.0,17.06
214,서울특별시,관악구,성현동,30472.0,0.0,4920.0,15.03
215,서울특별시,관악구,청룡동,36325.0,0.0,4920.0,17.92
216,서울특별시,관악구,난곡동,28054.0,0.0,4920.0,13.84
217,서울특별시,관악구,삼성동,23935.0,0.0,4920.0,11.81
218,서울특별시,관악구,미성동,31787.0,0.0,4920.0,15.68
219,서울특별시,서초구,서초동,171512.0,0.02,4926.0,84.7
220,서울특별시,서초구,잠원동,28532.0,0.0,4926.0,14.09
221,서울특별시,서초구,반포동,103250.0,0.01,4926.0,50.99
222,서울특별시,서초구,방배동,104555.0,0.01,4926.0,51.64
223,서울특별시,서초구,양재동,67599.0,0.01,4926.0,33.39
224,서울특별시,서초구,내곡동,18146.0,0.0,4926.0,8.96
225,서울특별시,강남구,신사동,16914.0,0.0,6638.0,11.26
226,서울특별시,강남구,논현동,45731.0,0.0,6638.0,30.43
227,서울특별시,강남구,삼성동,43968.0,0.0,6638.0,29.26
228,서울특별시,강남구,대치동,83418.0,0.01,6638.0,55.52
229,서울특별시,강남구,역삼동,74062.0,0.01,6638.0,49.29
