시도명,시군구명,읍/면/동,등록인구수,인구밀도
강원도,춘천시,강남동,17944.0,0.01149289091937363
강원도,춘천시,신사우동,20868.0,0.013365673634946996
강원도,원주시,문막읍,19728.0,0.012635518951036723
강원도,원주시,소초면,9420.0,0.006033383440732255
강원도,원주시,호저면,4088.0,0.0026183090770396456
강원도,원주시,지정면,9638.0,0.006173009511865974
강원도,원주시,부론면,2391.0,0.0015314033765170725
강원도,원주시,귀래면,2209.0,0.0014148348217173624
강원도,원주시,흥업면,9701.0,0.0062133601654504895
강원도,원주시,판부면,7616.0,0.00487794567777249
강원도,원주시,신림면,3804.0,0.0024364108926269107
강원도,원주시,중앙동,3014.0,0.0019304265064083884
강원도,원주시,원인동,5870.0,0.003759656135573072
강원도,원주시,개운동,13886.0,0.00889379643927899
강원도,원주시,명륜1동,9494.0,0.0060807794465299395
강원도,원주시,명륜2동,17143.0,0.010979861180941937
강원도,원주시,단구동,46006.0,0.02946622490173335
강원도,원주시,일산동,8436.0,0.00540314466093602
강원도,원주시,학성동,5370.0,0.003439412853156286
강원도,원주시,단계동,26439.0,0.01693382428763483
강원도,원주시,우산동,14745.0,0.009443974398471031
강원도,원주시,태장1동,10620.0,0.006801967318532543
강원도,원주시,태장2동,24159.0,0.015473514919814284
강원도,원주시,봉산동,9059.0,0.0058021677908273355
강원도,원주시,행구동,8026.0,0.005140545169354255
강원도,원주시,무실동,35048.0,0.022447773124287057
강원도,원주시,반곡관설동,41511.0,0.026587237792806438
강원도,강릉시,주문진읍,17085.0,0.01094271296018159
강원도,강릉시,성산면,3393.0,0.0021731709144803125
강원도,강릉시,왕산면,1648.0,0.0010555218588457278
강원도,강릉시,구정면,4096.0,0.002623432969558314
강원도,강릉시,강동면,4690.0,0.0030038819890694565
강원도,강릉시,옥계면,3857.0,0.00247035668056309
강원도,강릉시,사천면,4601.0,0.0029468786847992685
강원도,강릉시,연곡면,6871.0,0.004400783186971478
강원도,강릉시,홍제동,14729.0,0.009433726613433693
강원도,강릉시,중앙동,5425.0,0.003474639614222132
강원도,강릉시,옥천동,3694.0,0.002365957370495218
강원도,강릉시,교1동,27236.0,0.01744429207980719
강원도,강릉시,교2동,8284.0,0.005305790703081317
강원도,강릉시,포남1동,11184.0,0.007163201741098678
강원도,강릉시,포남2동,14191.0,0.009089144841553232
강원도,강릉시,초당동,5146.0,0.0032959438626335657
강원도,강릉시,송정동,7093.0,0.004542971204364532
강원도,강릉시,내곡동,16059.0,0.010285573744662345
강원도,강릉시,강남동,19111.0,0.01224033874053441
강원도,강릉시,성덕동,29100.0,0.018638159036656967
강원도,강릉시,경포동,7746.0,0.004961208931200855
강원도,동해시,천곡동,30768.0,0.019706490626799366
강원도,동해시,송정동,4575.0,0.0029302260341135954
강원도,동해시,북삼동,20554.0,0.013164560853589255
강원도,동해시,부곡동,5691.0,0.003645009040467863
강원도,동해시,동호동,4982.0,0.0031909040660008593
강원도,동해시,발한동,4019.0,0.0025741155040661288
강원도,동해시,묵호동,3668.0,0.002349304719809545
강원도,동해시,북평동,10651.0,0.006821822402042384
강원도,동해시,망상동,4035.0,0.002584363289103466
강원도,동해시,삼화동,3194.0,0.0020457140880784314
강원도,태백시,황지동,6759.0,0.004329048691710118
강원도,태백시,황연동,4825.0,0.0030903476753219887
강원도,태백시,삼수동,6364.0,0.004076056498600857
강원도,태백시,상장동,14295.0,0.009155755444295923
강원도,태백시,문곡소도동,4053.0,0.0025958920472704703
강원도,태백시,장성동,3561.0,0.0022807726573723527
강원도,태백시,구문소동,2917.0,0.0018682993096195318
강원도,태백시,철암동,2338.0,0.0014974575885808932
강원도,속초시,영랑동,5026.0,0.0032190854748535367
강원도,속초시,동명동,4312.0,0.0027617780675623657
강원도,속초시,금호동,6862.0,0.004395018807887977
강원도,속초시,교동,10357.0,0.006633519351981313
강원도,속초시,노학동,22790.0,0.014596688812557124
강원도,속초시,조양동,25042.0,0.01603906455656233
강원도,속초시,청호동,4879.0,0.0031249339498230014
강원도,속초시,대포동,3426.0,0.0021943069711198204
강원도,삼척시,도계읍,11507.0,0.007370078901539922
강원도,삼척시,원덕읍,5412.0,0.003466313288879296
강원도,삼척시,근덕면,5565.0,0.0035643077332988323
강원도,삼척시,하장면,1366.0,0.0008749046475626604
강원도,삼척시,노곡면,723.0,0.00046307178637467313
강원도,삼척시,미로면,1947.0,0.0012470273417309662
강원도,삼척시,가곡면,735.0,0.00047075762515267597
강원도,삼척시,신기면,674.0,0.00043168794469782804
강원도,삼척시,남양동,8142.0,0.005214841610874949
강원도,삼척시,교동,14802.0,0.009480482132666545
강원도,삼척시,정라동,9616.0,0.006158918807439635
강원도,삼척시,성내동,8626.0,0.005524837108254399
강원도,홍천군,홍천읍,35919.0,0.0230056369222571
강원도,홍천군,화촌면,4736.0,0.0030333443710518007
강원도,홍천군,두촌면,2425.0,0.001553179919721414
강원도,홍천군,내촌면,2447.0,0.0015672706241477525
강원도,홍천군,서석면,3945.0,0.0025267194982684445
강원도,홍천군,동면,3872.0,0.002479963979035594
강원도,홍천군,남면,6169.0,0.0039511616184583105
강원도,홍천군,서면,3886.0,0.002488930790943264
강원도,홍천군,북방면,4014.0,0.0025709130712419613
강원도,홍천군,내면,3485.0,0.002232095678445001
강원도,횡성군,횡성읍,21273.0,0.013625070693704593
강원도,횡성군,우천면,4703.0,0.003012208314412293
강원도,횡성군,안흥면,3153.0,0.002019454138920255
강원도,횡성군,둔내면,5872.0,0.0037609371087027393
강원도,횡성군,갑천면,2362.0,0.0015128292661368988
강원도,횡성군,청일면,2431.0,0.0015570228391104154
강원도,횡성군,공근면,3626.0,0.002322404284086535
강원도,횡성군,서원면,2165.0,0.001386653412864685
강원도,횡성군,강림면,1755.0,0.0011240539212829203
