시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
서울특별시,중구,을지로7가,281.0,2.81724e-05,0.0
서울특별시,중구,장충동1가,2734.0,0.000274104,0.0
서울특별시,중구,장충동2가,2734.0,0.000274104,2.0
서울특별시,중구,중림동,12801.0,0.001283398,2.0
서울특별시,중구,청구동,14281.0,0.001431779,0.0
서울특별시,중구,필동2가,2377.0,0.000238312,2.0
서울특별시,중구,필동3가,2377.0,0.000238312,0.0
서울특별시,중구,황학동,13531.0,0.001356586,4.0
서울특별시,중구,회현동1가,5757.0,0.000577183,2.0
서울특별시,중랑구,망우동,48292.0,0.004841642,12.0
서울특별시,중랑구,면목동,143278.0,0.014364714,28.0
서울특별시,중랑구,묵동,55260.0,0.005540237,10.0
서울특별시,중랑구,상봉동,45126.0,0.004524226,8.0
서울특별시,중랑구,신내동,61133.0,0.00612905,14.0
서울특별시,중랑구,중화동,46473.0,0.004659273,12.0
서울특별시,중랑구,망우동,48292.0,0.004841642,12.0
서울특별시,중랑구,면목동,143278.0,0.014364714,28.0
서울특별시,중랑구,묵동,55260.0,0.005540237,10.0
서울특별시,중랑구,상봉동,45126.0,0.004524226,8.0
서울특별시,중랑구,신내동,61133.0,0.00612905,14.0
서울특별시,중랑구,중화동,46473.0,0.004659273,12.0
전라북도,고창군,고창읍,21643.0,0.1133645863342325,3.0
전라북도,고창군,고수면,2308.0,0.0120891496215593,2.0
전라북도,고창군,아산면,2717.0,0.0142314642642013,2.0
전라북도,고창군,무장면,2879.0,0.0150800094282796,2.0
전라북도,고창군,공음면,2564.0,0.0134300604981274,2.0
전라북도,고창군,상하면,2467.0,0.0129219809863028,2.0
전라북도,고창군,해리면,2881.0,0.0150904852945027,4.0
전라북도,고창군,성송면,1853.0,0.0097058900557839,2.0
전라북도,고창군,대산면,3412.0,0.0178718277767592,4.0
전라북도,고창군,심원면,2577.0,0.0134981536285781,2.0
전라북도,고창군,흥덕면,3155.0,0.0165256789670795,2.0
전라북도,고창군,성내면,1994.0,0.0104444386245187,2.0
전라북도,고창군,신림면,2290.0,0.0119948668255506,4.0
전라북도,고창군,부안면,2684.0,0.0140586124715187,4.0
전라북도,무주군,무주읍,9551.0,0.0500274991488358,3.0
전라북도,무주군,무풍면,2280.0,0.0119424874944346,1.0
전라북도,무주군,설천면,4085.0,0.0213969567608621,2.0
전라북도,무주군,적상면,2632.0,0.0137862399497158,2.0
전라북도,무주군,안성면,4285.0,0.0224445433831809,1.0
전라북도,무주군,부남면,1419.0,0.0074326270853521,2.0
전라북도,정읍시,감곡면,2874.0,0.01505382,1.0
전라북도,정읍시,고부면,2888.0,0.015127151,1.0
전라북도,정읍시,내장상동,20778.0,0.108833774,0.0
전라북도,정읍시,농소동,4189.0,0.021941702,0.0
전라북도,정읍시,덕천면,1877.0,0.0098316,2.0
전라북도,정읍시,북면,4533.0,0.023743551,3.0
전라북도,정읍시,산내면,1231.0,0.006447896,1.0
전라북도,정읍시,산외면,2152.0,0.011272032,1.0
전라북도,정읍시,상교동,3967.0,0.020778881,0.0
전라북도,정읍시,소성면,2160.0,0.011313936,1.0
전라북도,정읍시,수성동,18063.0,0.094612786,3.0
전라북도,정읍시,시기동,3471.0,0.018180866,2.0
전라북도,정읍시,신태인읍,5664.0,0.029667653,3.0
전라북도,정읍시,연지동,6130.0,0.03210853,3.0
전라북도,정읍시,영원면,1838.0,0.009627321,1.0
전라북도,정읍시,옹동면,1736.0,0.009093052,1.0
전라북도,정읍시,이평면,2139.0,0.011203939,1.0
전라북도,정읍시,입암면,2883.0,0.015100961,2.0
전라북도,정읍시,장명동,3057.0,0.016012362,1.0
전라북도,정읍시,정우면,2622.0,0.013733861,2.0
전라북도,정읍시,초산동,11030.0,0.057774402,0.0
전라북도,정읍시,칠보면,2380.0,0.012466281,2.0
전라북도,정읍시,태인면,3577.0,0.018736087,2.0
광주광역시,남구,양림동,7592.0,0.005128714,2.0
광주광역시,남구,방림1동,7274.0,0.004913892,2.0
광주광역시,남구,방림2동,9421.0,0.006364281,3.0
광주광역시,남구,봉선1동,15122.0,0.010215545,6.0
광주광역시,남구,봉선2동,29602.0,0.019997392,6.0
광주광역시,남구,사직동,5669.0,0.003829647,1.0
광주광역시,남구,월산동,8005.0,0.005407713,3.0
광주광역시,남구,월산4동,9225.0,0.006231874,1.0
광주광역시,남구,월산5동,6830.0,0.004613951,1.0
광주광역시,남구,백운1동,13019.0,0.00879488,1.0
광주광역시,남구,백운2동,6311.0,0.004263345,2.0
광주광역시,남구,주월1동,20184.0,0.013635138,6.0
광주광역시,남구,주월2동,8698.0,0.005875864,6.0
광주광역시,남구,효덕동,47590.0,0.032149041,0.0
광주광역시,남구,송암동,19302.0,0.01303931,0.0
광주광역시,남구,대촌동,5769.0,0.003897201,0.0
충청북도,진천군,진천읍,31917.0,0.378769359,12.0
충청북도,진천군,덕산면,22439.0,0.266290868,5.0
충청북도,진천군,초평면,3508.0,0.04163057,4.0
충청북도,진천군,문백면,4147.0,0.04921379,4.0
충청북도,진천군,백곡면,2167.0,0.02571649,2.0
충청북도,진천군,이월면,8078.0,0.095864238,6.0
충청북도,진천군,광혜원면,12009.0,0.142514686,3.0
