시도명,시군구명,읍/면/동,등록인구수
서울특별시,서초구,반포본동,11991
서울특별시,서초구,반포1동,32630
서울특별시,서초구,반포2동,16240
서울특별시,서초구,반포3동,22412
서울특별시,서초구,반포4동,19977
서울특별시,서초구,방배본동,21293
서울특별시,서초구,방배1동,17381
서울특별시,서초구,방배2동,20404
서울특별시,서초구,방배3동,21441
서울특별시,서초구,방배4동,24036
서울특별시,서초구,양재1동,44890
서울특별시,서초구,양재2동,22709
서울특별시,서초구,내곡동,18146
서울특별시,강남구,신사동,16914
서울특별시,강남구,논현1동,23734
서울특별시,강남구,논현2동,21997
서울특별시,강남구,삼성1동,13600
서울특별시,강남구,삼성2동,30368
서울특별시,강남구,대치1동,24922
서울특별시,강남구,대치4동,20744
서울특별시,강남구,역삼1동,36771
서울특별시,강남구,역삼2동,37291
서울특별시,강남구,도곡1동,22227
서울특별시,강남구,도곡2동,34042
서울특별시,강남구,개포1동,6670
서울특별시,강남구,개포4동,22765
서울특별시,강남구,일원본동,23945
서울특별시,강남구,일원1동,15827
서울특별시,강남구,일원2동,17709
서울특별시,강남구,수서동,15299
서울특별시,강남구,세곡동,44475
서울특별시,강남구,압구정동,27440
서울특별시,강남구,청담동,27266
서울특별시,강남구,대치2동,37752
서울특별시,강남구,개포2동,22297
서울특별시,송파구,풍납1동,14585
서울특별시,송파구,풍납2동,25703
서울특별시,송파구,거여1동,13077
서울특별시,송파구,거여2동,19330
서울특별시,송파구,마천1동,19909
서울특별시,송파구,마천2동,19719
서울특별시,송파구,방이1동,16298
서울특별시,송파구,방이2동,26675
서울특별시,송파구,오륜동,18495
서울특별시,송파구,오금동,39668
서울특별시,송파구,송파1동,25190
서울특별시,송파구,송파2동,20800
서울특별시,송파구,석촌동,33166
서울특별시,송파구,삼전동,31839
서울특별시,송파구,가락본동,27368
서울특별시,송파구,가락1동,27876
서울특별시,송파구,가락2동,33204
서울특별시,송파구,문정1동,20868
서울특별시,송파구,문정2동,29547
서울특별시,송파구,잠실본동,29093
서울특별시,송파구,잠실4동,21798
서울특별시,송파구,잠실6동,17366
서울특별시,송파구,잠실7동,9903
서울특별시,송파구,잠실2동,36216
서울특별시,송파구,잠실3동,35497
서울특별시,송파구,장지동,30370
서울특별시,송파구,위례동,30366
서울특별시,강동구,강일동,35778
서울특별시,강동구,상일동,33345
서울특별시,강동구,명일1동,26377
서울특별시,강동구,명일2동,17555
서울특별시,강동구,고덕1동,26103
서울특별시,강동구,고덕2동,22568
서울특별시,강동구,암사2동,15507
서울특별시,강동구,암사3동,18420
서울특별시,강동구,천호1동,27745
서울특별시,강동구,천호3동,27085
서울특별시,강동구,성내1동,20353
서울특별시,강동구,성내2동,24948
서울특별시,강동구,성내3동,23692
서울특별시,강동구,둔촌1동,262
서울특별시,강동구,둔촌2동,26413
서울특별시,강동구,암사1동,35728
서울특별시,강동구,천호2동,35251
서울특별시,강동구,길동,46868
