시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,범죄총계(구),관광지개수,등록인구수총계(시군구명),인구밀도비율(구),예상범죄발생횟수
강원도,춘천시,동면,1.0,20120.0,8.0,0.0,184.0,0.0,1561313.0,0.012886589684451484,2.371132501939073
강원도,춘천시,동산면,1.0,1560.0,1.0,0.0,184.0,0.0,1561313.0,0.0009991590411403736,0.18384526356982872
강원도,춘천시,신동면,1.0,2594.0,3.0,0.0,184.0,0.0,1561313.0,0.0016614221491782879,0.30570167544880494
강원도,춘천시,남면,0.0,1123.0,0.0,0.0,184.0,0.0,1561313.0,0.0007192664123081022,0.13234501986469083
강원도,춘천시,서면,1.0,4071.0,6.0,0.0,184.0,1.0,1561313.0,0.0026074208054374746,0.47976542820049534
강원도,춘천시,사북면,1.0,2674.0,4.0,0.0,184.0,0.0,1561313.0,0.0017126610743649737,0.31512963768315516
강원도,춘천시,북산면,0.0,992.0,2.0,0.0,184.0,1.0,1561313.0,0.0006353626723149042,0.11690673170594236
강원도,춘천시,동내면,1.0,17901.0,6.0,0.0,184.0,0.0,1561313.0,0.011465349997085787,2.109624399463785
강원도,춘천시,남산면,0.0,3742.0,6.0,0.0,184.0,1.0,1561313.0,0.002396700725607229,0.44099293351173013
강원도,춘천시,교동,1.0,4369.0,2.0,0.0,184.0,0.0,1561313.0,0.0027982858017578795,0.5148845875234498
강원도,춘천시,조운동,0.0,3231.0,0.0,0.0,184.0,0.0,1561313.0,0.0020694120909772735,0.38077182473981835
강원도,춘천시,약사명동,0.0,2758.0,2.0,0.0,184.0,0.0,1561313.0,0.0017664619458109937,0.32502899802922286
강원도,춘천시,근화동,1.0,9196.0,1.0,0.0,184.0,0.0,1561313.0,0.005889914450209535,1.0837442588385544
강원도,춘천시,소양동,0.0,10931.0,1.0,0.0,184.0,0.0,1561313.0,0.007001158640195784,1.2882131897960243
강원도,춘천시,후평1동,0.0,13013.0,3.0,0.0,184.0,0.0,1561313.0,0.008334651668179283,1.5335759069449881
강원도,춘천시,후평2동,0.0,15730.0,4.0,0.0,184.0,0.0,1561313.0,0.010074853664832099,1.8537730743291063
강원도,춘천시,후평3동,0.0,18286.0,4.0,0.0,184.0,0.0,1561313.0,0.011711937324546711,2.154996467716595
강원도,춘천시,효자1동,0.0,5073.0,2.0,0.0,184.0,0.0,1561313.0,0.0032491883434007146,0.5978506551857314
강원도,춘천시,효자2동,0.0,12918.0,2.0,0.0,184.0,0.0,1561313.0,0.008273805444520093,1.5223802017916972
강원도,춘천시,효자3동,0.0,5335.0,2.0,0.0,184.0,0.0,1561313.0,0.0034169958233871106,0.6287272315032284
강원도,춘천시,석사동,1.0,38051.0,6.0,0.0,184.0,0.0,1561313.0,0.024371154278482278,4.484292387240739
강원도,춘천시,퇴계동,1.0,44442.0,9.0,0.0,184.0,0.0,1561313.0,0.028464503914333642,5.23746872023739
강원도,춘천시,강남동,0.0,17944.0,0.0,0.0,184.0,0.0,1561313.0,0.01149289091937363,2.114691929164748
강원도,춘천시,신사우동,0.0,20868.0,0.0,0.0,184.0,0.0,1561313.0,0.013365673634946996,2.4592839488302474
강원도,태백시,황지동,0.0,6759.0,4.0,0.0,2351.0,0.0,1561313.0,0.004329048691710118,10.177593474210488
강원도,태백시,황연동,0.0,4825.0,0.0,0.0,2351.0,0.0,1561313.0,0.0030903476753219887,7.265407384681995
강원도,태백시,삼수동,0.0,6364.0,0.0,0.0,2351.0,0.0,1561313.0,0.004076056498600857,9.582808828210617
강원도,태백시,상장동,0.0,14295.0,0.0,0.0,2351.0,0.0,1561313.0,0.009155755444295923,21.525181049539714
강원도,태백시,문곡소도동,0.0,4053.0,1.0,0.0,2351.0,0.0,1561313.0,0.0025958920472704703,6.1029422031328755
